sentiment,content
happiness,ur moomie liked pandora buy one next lol
happiness,sbarro dinner krispy kreme dessert mmmmm healthy
sadness,omfg favourite jerk chicken place closed
sadness,saw dooope bmw series parked top backto bad raining
neutral,wangotango lol
happiness,gah got songs itunes im happy theyre awesome keep
neutral,thanks
happiness,maddie starts working watch world
happiness,happy mothers day mommiies owt theaa amp ii think ii got thaa hang thiis thiing yay
happiness,hotttt weather getting blackk starts rain
sadness,hrs go pa ako
neutral,actually progressive studying today
sadness,man daddy left work never see lot miss daddy
sadness,attempts somehow extend inner classes would close closure cant find ref atm
neutral,goodbye mountains fb
neutral,gnight shar lt ltvegagt gt
neutral,ha good morning may fourth
surprise,pfft fan helicopters imaginary penis hi drake welcome real world
sadness,ty long tiring day filled expensive plumbers work needed calgon hope amp awesome weekend
sadness,burnt arm thought know
happiness,home work good night epic dudes dudettes
surprise,coming indianapolis
happiness,happy moms day
neutral,nope computer right need power supply im useing old office machine
neutral,cool rite
happiness,aparantly starwarsday enjoy dont quite know kent happy anywho
neutral,many thanx guys
happiness,hahaha funnyy
surprise,home stingcrunk courselong ass day n nitealso visited boy rob vall goodhappy mothers dayword yo mutha
happiness,pitty wasnt arnd huh wld rlly wet otherwise wedding gd time amp lots smiley faces
happiness,bus boys poets ordering medici white chocolate banana bread pudding
neutral,say cheese camera throw western mass gang signs cool
sadness,im mad im going missing maine tomorrow takes effing day fly florida
happiness,chatting old classmates hellyeah fun weird conversation haha hello bbm lo error ya
happiness,finally making headway family room home finally begining look like btw dial go die
anger,want invite sick seeing links people playing left
neutral,thanks going rain weekend
neutral,blah got shot hospital taking gravol moving slow
happiness,cant wait till move home life next year wacky adventures every day
sadness,waaaa ran machine problem yeah
neutral,obvious holly go thru public vote straight away sooo obvious aidan greg judges neither go
sadness,trying deny shes beginning miss every single day apart need sprite haha
neutral,yes francebelgium good carnt belive much traffic hit way back
sadness,never ever smoking around
neutral,packing
sadness,happy mothers day ugh sickschool tomorrow watched enews keeping kardashians dreamgirls
surprise,dont like demii like la la land dont forget like ashley tisdale
neutral,going swim
neutral,haha chocolate always knew heart stomach wait till try truffles
neutral,back bed
sadness,tonight last night apartment
happiness,im leaving desk last week safari time flies whats good weekend jbii
neutral,picture zack saved bell
neutral,tomorrow house shopping
neutral,second
sadness,finally summer unforunately cant come see youitll see yall tell emm said hi
sadness,tummy hurts
happiness,hahaha dont work strip club know alrighty mister done public may dancing today
sadness,rainy mondays better day work home thankful
happiness,thankful rain garden kids starting gardening lapbook thanks heidi
neutral,oooh hangover
neutral,hi uploaded completely new chinese lessons wwwyoutubecomchineselearn please feel free watch enjoy
neutral,ugh people fancy trips italy im slaving away computer
happiness,indeed excellent movie
sadness,vmas guess also wanna go london june demi lovato concert ones going
happiness,thanks little girl loves animals oohs aahs cute
neutral,drop email something ill totally
neutral,keeping chilled
sadness,oh ex room mate moving today
sadness,sorry got behind followers still catching follow folks including
surprise,wonder thumbnail pictures arent showing tweetdeck
sadness,fab day placement working weekend
happiness,jb cute lmfao giggles
surprise,ah haha omg fudge grahmcracker cookies boo
surprise,hate fact nice outsidee im inside revisionn
surprise,highly amused wasnt treated nicely like patientnot fault life better
neutral,listening broken lifehouse repeat
happiness,old youre comfy like worn sweats said love sarcastic heart muster
sadness,ticked cause cant go see quotdrag hellquot melissa amber staying home friday night thing
sadness,practicing smile todayits gunna big
neutral,getting dinner ready much going life seems
neutral,see see
neutral,step photoshop expert
neutral,wants go vintage paper show one accompany
neutral,mannnn got iphone im jealous
happiness,definitely ready plate pancakes
sadness,forgive hurting one love
neutral,morning get see ill let know right im going go see wolverine
happiness,happy mamas day ladies good day
neutral,hey anymore im back
surprise,remember take challenge
happiness,hope know woo haha times exciting lol
neutral,okay okay sleep realz goodnight waves followers
neutral,im advert makeawish foundation amp cant find photos kids looking close death thats good thing kids
neutral,year
surprise,oh im jealous surprising
surprise,wow vicodin must worked slept better get updating bjadaycom job
surprise,happened often hated every time moved username thought id love moved soon
neutral,beat dont understand
neutral,freaking difficult get systemwide spellchecker shit id settle office suite one stupid unhelpful windows
happiness,amazing brand new pari neb broke go figure weekend looks like wont getting another one next week sigh
sadness,successful shopping day
happiness,woke coffee listening music reading rsssunday feels great
neutral,acaaaaaabou
happiness,happy mothers day hope tom got something special enjoy day xo
neutral,think bicycle freaked custodian wouldnt let building didnt let key
sadness,mean monday take test monday please please
sadness,allowed call live uk parents say cost much sucks
happiness,ive heard basment jaxxs new song quotraindropsquotthats fantastic makes dancing cant wait fuji rock festival
neutral,migraine fighting way back last night
happiness,nice hair nowhere go
neutral,might cornerstone year
neutral,save readheads
surprise,greetings joan wanted say still miss waking pleasant personality amp face hugs angel
sadness,miss guys
happiness,morning sunshine
happiness,concert hope makes guest appearance
sadness,work huge headache
happiness,listening nin working break almost good show rock extra hard
happiness,thank advice ill work im work
neutral,
sadness,hala know one shame
neutral,going visit sister today shes grumpy ill chill home family visit tomorrow
happiness,bye twitter amp fb world im san francisco airport ready board air china sure ill internet access
sadness,watched bgt catch aw felt sorry holly
neutral,stinks anyway
sadness,last day st andrews spend west sands packing
sadness,really wants buy new clothes
sadness,cant wait see marco later feeling best
neutral,yes noticed retweet
neutral,long frisbee golfer quotaccidentallyquot catches one back head friend
happiness,please come online hope youve amazing weekend
neutral,explosion late eighties odd weather instead migrating wind blew back
happiness,surprising momma bear
sadness,im mad wont ughhh
neutral,ohhhh reminds know one send toothpaste
happiness,thanks sweet dreams
happiness,yay found u great time tonight
neutral,stormy
surprise,get quotwhatquot quotwhatquotthe baby sent twitter messages behalf
neutral,ok sweet whenever u want stuck bed weekend
sadness,feeling good happen today days going friends tonight
neutral,really put pic guess
happiness,hehe sta se malce preve vivela v verajnji dark night koncert ob takem lineupu
neutral,gettin ready school new converse come today
neutral,shower head broke shower shot straight headmay get welt later
neutral,thanks bro
happiness,glad u could check us today keep touch
sadness,lt definitely nothing christian
neutral,isnt podcasting gear got bittech
neutral,hairugh dont want go work today
happiness,boarding uss enterprise warp speed ahead fb
happiness,cant work twitter phone bed thinking funny stuff last night l good times
neutral,hope feel better soon
happiness,well back sunday play horse last night mex miss
sadness,three hated words quotsee mondayquot
happiness,still twittercommonicafrancesca see gino drag fun
neutral,har har swineflu everywhere via
sadness,wanna watch quotupquot badly
sadness,know feel takes far much time life
neutral,morning eating morningstar farms veggie bacon strawberry streudal later work todayget dog tick juice ugh
neutral,fun tomorrow night think fun bar art gallery wish could
surprise,cute going daddy
happiness,problem think great thing reflect
neutral,morning everyone
sadness,omg period cramps ftl much pain
sadness,coincidently friend cancelled movie date
neutral,sigh
neutral,tried say seems like people facebook dont agree guess fail cries
neutral,lol know feel kids current work load maxed time grow things
neutral,lonely
neutral,family party
neutral,like power nap
neutral,go home cry
sadness,crying omg fed pain
neutral,think bit love creations wit physically attracted although great style
surprise,youre welcome added already
sadness,really sad nephew keeping busy sorting items bwm
sadness,cant believe weekend already time go nice day fam today mum good day
neutral,good afternoon
happiness,hahaha massive compared others youre sweet scenie
happiness,pj dayydoesnt happen veryy often
happiness,need simple reminderthx
happiness,dance gavin danceattack attacka skylit drive tonight im exciteddddd
neutral,si gn sng nng chiu
neutral,going bed plans tomorrow hanging around good night people
happiness,twitter sooo im pretty damn cool
neutral,hotel thankful
neutral,wants sign germany field trip pero tengo dinero
surprise,found couple weeks ago spazzed pulled life back normal lol
surprise,went page made hungry
happiness,going suffolk tomorrow however mb amp planning picnic mall friends neil amp jodi
sadness,sad hollyoaks
happiness,yes yes ima guna lol
sadness,kickable
happiness,used last dvdr windows iso next batch lightscribe dicsc want see works
happiness,thanks little star offered come ja weekender dunno afford go looking
sadness,days without sleep migraine thought life meant relaxing
sadness,im mobile web wont let looks awesome thoughand one reads tweets anyway
surprise,anybody seen twinster
neutral,thanks good morning
neutral,holiday
neutral,
neutral,london car thats degrees air con
neutral,ive got idea reach birthday brunch location roads around west jkt clueless
happiness,haha wish could
surprise,watching hollyoaks omg
happiness,way home aloha good night everyone
happiness,happy juddday tom
sadness,kerry threw ball anand bounced head landed lunch exploded everywhere
surprise,wut u want shot
neutral,excited ysj summer ball wish one
neutral,done
sadness,hate english day everyday
sadness,decided cant stand alltop spam longer
happiness,thanks hope find job soonoh almost forgot landed role indie flick first audition ever lol
neutral,hi uploaded completely new chinese lessons wwwyoutubecomchineselearn please feel free watch enjoy
happiness,ben jerryyummmmy
happiness,awww lol yh worth mcfly worth eekk
sadness,triste
sadness,cant believe er
happiness,england summer holidays year yay
sadness,want go school oh well get early anyways
sadness,made okay rap mix couldnt stuff wanted im getting ready leave
sadness,sad true shouldnt right
neutral,go want go bro switch time wwwdirectgovukstudentfinance
neutral,gonna lazy day today
sadness,long painful miles today knees ache approaching years rough accepting well glasses draft helped
neutral,
happiness,got home city lights show yeahhh
sadness,wish babe
neutral,south philly passyunk square area closer two street
sadness,seems like u r pushing wcm site really cant beleive pro havent heard joomla drupal
sadness,damnthe right side earphones stopped working sudden need buy new ones
happiness,phped running successfuly via wine get ems running
surprise,following people around though many webdesign twitters
neutral,im sure would know
neutral,hey tallebudgera creek anitas special treecould almost bumped
neutral,cant help feel today massive michael jackson rumour day cue mj haters
happiness,peter follow oh fun europe
happiness,fun
neutral,american trade journalists ask prs almost time uk journalists ermnot much come
surprise,really sleepy bored right word much work
neutral,case got new one last week im thrilled mine
happiness,show gratitude someone something nice small quotthanksquot goes long way twitip
neutral,follow friday friends
happiness,yes bag goodies lol
surprise,hello twitters
sadness,argh twitter didnt post replies tweets ages aint much enjoying sun
happiness,class trying listen really like twitter facebook amp myspace oh yeaaah amp im hungry
happiness,mooorning friday thats terrific smile
neutral,charbotgreen suspended quotunusual activityquot
neutral,freako roidz hope lifts legs stay way clean
neutral,im hella pushin ithow tha graduationsorry couldnt smash thru
neutral,dennys mike pat jessie
neutral,bad
sadness,thanks found article say cannot join uk though
sadness,bored class wanna go home
happiness,thanks man cant wait
sadness,twitterberry hates
neutral,girl blunt soooooooo thoughts right absolutly great day stressorscome home
neutral,everything
sadness,ok passengers one alive theyre dead dont know til end cry
happiness,loloh man untwit something haha mean lean mean fighting machine sooo cant believe called
surprise,never win raffles raffle dulce culture crawl win tie pocketsquare handbag
neutral,
neutral,still havent figured sadly itll take research know whats
neutral,morning think time went bed goodnight everyone
happiness,wishing could paulo show fortunately went brasilia one haha
neutral,dont link anymore
sadness,knows makes sad lol
neutral,quotholy cowquot
neutral,oh youve superseeded good enough
happiness,wow thats say star trek cool
happiness,good morning
neutral,gotta leave early like
neutral,may keep shelf rest old cameras
happiness,heartwarming indeed ill looking forward day
neutral,everybody look new profile picture click profile
neutral,bed girls
neutral,omg anyone see wee girl bgtxx sucha shame
neutral,getttin ready
neutral,sharapova loses set
happiness,good day
neutral,gone
neutral,hi selena made team support greece cyprus
neutral,sonny mystery man im thoughh
happiness,joined facebook
happiness,ahh thats fun work last night party went movies today see wolverine good weekend
happiness,waves make ok
neutral,thank
neutral,tried dm following us
happiness,beautifulalbeit windy times night
surprise,burnt lake
neutral,eurgh revision invented history
neutral,ok might lil slow quotffquot mean
sadness,oh hope get soon make feel better hugs coast
neutral,marks end roommate era never made wontons
sadness,got bullied dillah help
neutral,think wearing bermudas cinema wasnt good idea outside humid like cwazy
sadness,oh tweetdeck malfunctioning il web fixd
neutral,wants sunbathin
happiness,sounds good hahaha
sadness,computers broken broke laptop use phone ahh still cause fucked order
neutral,back interesting emails
sadness,um k close eyes song always makes cry bc mom gone anyway
neutral,argh watching batman
neutral,aright twitter fam guess ima outties gonna try n sleep horrible pain
neutral,good one might think years nanowrimo competition
neutral,havent ridden dirt year hate single track handle double track slow
happiness,good morning alyssa hope u great wonderful day today im happy cuz today last day classes yay
happiness,awsome thanks jocant wait xx
sadness,wanting go apparently ones available
neutral,tom mito tour dvds still made cos seem stealing really want copy
surprise,lol ik figure ive kept year without needing virus software get fixed sigh
surprise,omg much pain ouchies
neutral,ive using quite time love polar bears nickname favorite number
happiness,enjoying view sg flyer
neutral,youre welcome
neutral,kill bradies gf bradie
neutral,got followers like someone follow please
happiness,good luck finals
happiness,fun bday celebration
happiness,well im gonna mission find music
happiness,thank linkvery coolsee monday
happiness,home friday makes
happiness,thought rubbish twins cute tho
surprise,read somewhere restoring name hope happens soon
neutral,good morning
neutral,done
happiness,lol tiz good song
sadness,brain hurts
happiness,morning twitts heading home great sleep w bf tennille
neutral,whats much listening music im tx
surprise,bahah butnick
surprise,gaaaaaaasp didnt know final one sad ive reading books years
neutral,tell grandmother say hello
neutral,great mood todayyyyyyyyy super excited game tonight excited one year older tomorrow
neutral,hear
happiness,today wills first baseball game go bats
sadness,im sad panda hulu doesnt elephant show skinnamarinkydinkydink sing alongs
neutral,wants boo btw love fhnixons posts hilarious
happiness,better idea need couple hour relax bed time sweet dreams everyone love u
happiness,omg taylors london near scotland please come visit glasgow
neutral,sorry getting referencememe
sadness,without whipped topping shortcake shortcakefail
surprise,test gauge audience reaction
happiness,thanks great night dear perfectly completed weekend
surprise,watchin jonas
neutral,disappointed didnt win teh glassez
neutral,hope
surprise,oh haha thanks thats something new
sadness,tongue cheek mentalitiesthere another one takes piss arabs long
happiness,oh fabulous ta im coffee obviously although cup large enough embrace deficiency
neutral,bone along outside ur feet caterpillar crawl sides spine relief reflexology works
sadness,saying good bye ronald today difficult sad well miss yuu
surprise,gotta terabyte space store movies
neutral,awww bless made cry
sadness,im headed home sea world closed early
neutral,printchick thx sharen luv
happiness,yes thats said
neutral,welcome last two years flyers fans
neutral,wondering actually week fuk bar pack peeps r leavin
neutral,lying sofa chillingdont intend moving time soon
neutral,oh thats star trek going already woo
neutral,thought gonna show
neutral,almost said quotand grammer exist eitherquot grunt stopped
happiness,women science amp technology conference la jolla interesting day met really great people
neutral,finished lunchsubway eat freshnow gotta go back work
sadness,indeed get song however unable listen
neutral,oooh yeaah fooood time ive found seat bbq right front food hahaa
neutral,im brighton work city
neutral,got finished cleaning putting moms presents happy mothers day im going sleeeeep
sadness,sorry gpgmail
surprise,omg cant view iphone
sadness,feeling bad didnt get see
sadness,one bringing snacks
surprise,glad like took around half hours would less kept stopping food breaks haha
neutral,woot go girl
sadness,dbl booooooo sick flippin blows bahaha kno dont many friends either feel lame haha
neutral,soooooooo happened power forreal
neutral,hav bet get pack daysim day sux
neutral,awww thatss well sad x
neutral,wanna listen full send
sadness,taylor swift joe jonas looked really good together im kinda sad broke
neutral,alright back twitter decompression happy monday folks whats good word
surprise,schmoo moving sad
sadness,one bad daysmigraine today since neck surgery months
neutral,isnt local dish borrow
sadness,crashing wi highmissing mayfield
happiness,present project
neutral,ngobrolin favorite bands moment cii kesian ya kamu speakernya rusak hahaha benerin dong ci
sadness,oh dinner time still sulking missing fillet min sob tea amp toast
neutral,doesnt understand twitter
sadness,guitar lessons tomorrow wake early
happiness,mum really happy pretty small present oh wow tomorrow test one presents one pasta recepies
happiness,thanks coming cuz
neutral,reading todays paper along watered coffee compliments rents
sadness,lulus put scottish accent britains got talent makes sad scottish coz falconers dont play accent
sadness,went really well vid didnt work im sad
surprise,omg thats say
happiness,omg roach room first time ever apartment today hope dont patricia luck next
sadness,sitting computer eating grapes hailing outside miss summer
neutral,also travel backpacking hope enjoy pics amp videos
surprise,kidney stone really ugh
sadness,nooooooo want go back newcastle
sadness,listing sad song sad
sadness,please dont roll eyes cant handle cries
happiness,hi getting tought could write something today im gonna go shopping soo fun isnt
sadness,know lame
neutral,california
sadness,ok feel like need cry cant believe less years ill walking across stage get high school diploma
neutral,nice lunch even better mom pays
surprise,lol salivary gland frm little flies way alisondrama queen oh ur brain hurts new brain growing
neutral,whats u hating becky soo much ur bio says ur niceguess
neutral,way work four days really really dont wont go
neutral,thats two half hours completed chillaxing half
sadness,im sorry least friday
sadness,feeling pretty poo today
neutral,alone disbelief quite happy evolution beats alternatives posited
neutral,want go vp one willing come
surprise,yoyo door nazis refused entry account id gutted heard good night tho next time ill come prepared
happiness,best ecommerce site hope youve watched big bang theory please hit quotbuy nowquot
neutral,yes
happiness,took daughter school still tired still voice know people happy lol time get ready work
sadness,eww dislike
sadness,sadly didnt come one
sadness,boo work beatwittyparty least youre still
happiness,yeh yeh would switch cingular friends tmobile free minutes yo
neutral,agree facehunter embarrassing representation compare swedes look like born stylish
surprise,got overexcited pizza burned mouth
happiness,drink hot chocolate yummy
happiness,ooh love sweet potato fries definitely go
sadness,shrunk favourite cardigan hubby said hed buy new one practically lived gone shall say words
happiness,hahaha nonsense
happiness,happy mothers day moms
happiness,fine thanks long till christmasim excited
neutral,called dedicated
neutral,rofl
neutral,walls jericho please come worcester asap candace pleeaassee flee seen call quits whyyy
happiness,yes
sadness,got really sick today text later nap time
happiness,chillin home day yippeewish keep company
happiness,staying home work linoleum block carving project due tomorrow probably pictures
neutral,eww r u atm
neutral,rain aaaaaaaaaahhhhhhhh im gonna melt damn cold freakin cold brrrrrr
sadness,first day work im excited lay place everything well job
sadness,home wbae amp myka hes meann
neutral,missed britains got talent tonight heard got amp happend gutted greg pritchard didnt make
happiness,chillin bros couple yeunglings doesnt get much better
happiness,good job wish worked zoo
neutral,hah finally got home
sadness,wat u mean killed yes im sure lady gaga awsome
surprise,new song amazing
neutral,cant find camera
happiness,nice jet ski testing hope book going well cheers adding got twitter watching gadget show
neutral,hey esmee u
happiness,thanks much
happiness,sun shining im driving lesson
sadness,disturbed sold baby tiger met thailand exotic pet greedy bastards
happiness,good eatin hey follow son hes
neutral,something red bull hmmm think maybe
sadness,friday id love party dont sitter
happiness,fuckeddamn lucas czech republic beer tastes like heaven bottle amazing
sadness,aaaaaw want live usa
neutral,iphone
sadness,headache boo
neutral,know bounds
neutral,charmer like football
happiness,thnx follow
happiness,got home hour track feel real good p running nice abs work push ups haha p
neutral,beautiful song anyone could use pick tonight
anger,dont know lender yea people definitely sucked butt toes friendly helpful
neutral,working
sadness,really despair whole copyright situation visually impaired means dont deserve read
neutral,poltergeist house
neutral,missed cutoff free chocolate eh wellbikini season coming
neutral,lots noisy peeps outside
surprise,havent got text back sod looks fabulous
neutral,grandpa telling used cut human bodies med school
neutral,mexican wrestler year capes probably havent build though
sadness,sucks doesnt
neutral,san jose good time w bros also helped dad edit next holy land brochure wish could go
sadness,nothing good tv
neutral,got outta work frankies house
surprise,google goes pink today
neutral,grabbed way work
sadness,forgive good lord time knew wat except mighty oracle didnt amp care fully support unixodbc
neutral,work booo
neutral,going shibuya meet mom get contact lenses shinjuku
neutral,idea
sadness,soooo disapoointed couldnt make next time glad productive
happiness,twas good show even liked ciaras last song time go bed gnight
neutral,ouchhhhhh burnt frkn tongue
happiness,barack obama legend watched dinner speach pretty funny
neutral,interesting today say least overall good day
happiness,yeah quick im using addis bought sat makes even smoother
neutral,nice sunny day
neutral,want work
neutral,aint got moment sorry
neutral,im almost updates goo
neutral,ouch applied ec summer graduation hug
surprise,mint icecream dessert tonight love stuff
neutral,feel lazy watching people work roof kat woman
sadness,go work
sadness,much fun day brewer game home sick
neutral,slipped caught flu feeling like poop
sadness,watched wayyyy much beverly hills today proud fact tv fail
surprise,oh ouch hurt damn washing machine get ltlt gtgt
sadness,yeah know dealin yrs
happiness,te vi onteeeeeeem
neutral,fireflythats nathan fillion
sadness,shits depressing
sadness,aww hey didnt know lol im sick outtie
neutral,movie popcorn time
neutral,wanna something tonight work dunno
sadness,boring sunny monday school tired lazy hungry yeah great mood
neutral,still train goin southside
neutral,good morning universe today
anger,straighteners another pounds though seems pricey
neutral,bought new movies
sadness,day
sadness,official im worst day called mile away
happiness,noticed yesterday tooim actually really happy startrek
sadness,im getting another one theres alfie
sadness,awww wish could talking minutes
neutral,new forum thread first typhoon season headed okinawa made look
surprise,woke catching nightly tweets
happiness,watching cavs
neutral,follow
neutral,stress test good luck
neutral,going freo today mother
sadness,sooo tired cubicle
sadness,one go see tiesto
neutral,first pos
sadness,thats good day
happiness,sang quotshinequot newsboys car holla
sadness,wish yallunfortunately wont able make itgotta work gig today
sadness,im sick sucks im
sadness,thedailyshow week
surprise,smell cake dont see cake oven
happiness,love panties
sadness,today going normal day hope group pilots large airline come last night much drink
neutral,keep different hours
sadness,good luck waiting online cant javaone year
happiness,getting hair done bout hit club ha see u later smooches
neutral,bored
neutral,tomorrow afternoon well later today actually shoot seattle sinner newspaper femme fatale seattle photographers
sadness,food house sugar ants
sadness,wanted go birthday
sadness,panda express long ive missed
neutral,dont forget call mom tomorrow
sadness,aww left family guy
neutral,would think ali found evans web twitters
sadness,cont bastardized version french fun believe
neutral,anyone know good png compression tool os x tried pngcrush doesnt run
happiness,watched star trek well done think im see wants join
neutral,good night thanks
